,char1,char2,Part,word_count,pos,neu,neg,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,char1x,char1y,char2x,char2y
10,Kitty,Vronsky,1,1595,0.19,0.751,0.059,0.006269592476489028,0.02884012539184953,0.005015673981191223,0.009404388714733543,0.030094043887147336,0.020689655172413793,0.05141065830721003,0.012539184952978056,0.010031347962382446,0.03322884012539185,-0.9749,-0.2225,0.4339,-0.901
11,Kitty,Levin,1,4804,0.185,0.75,0.065,0.007285595337218984,0.01894254787676936,0.004787676935886761,0.008950874271440467,0.026644462947543714,0.021856786011656953,0.04558701082431307,0.010199833472106578,0.009991673605328892,0.023938384679433804,-0.9749,-0.2225,0.7818,0.6235
12,Stiva,Vronsky,1,1106,0.156,0.806,0.038,0.0027124773960217,0.012658227848101266,0.0009041591320072332,0.003616636528028933,0.018083182640144666,0.013562386980108499,0.037070524412296565,0.007233273056057866,0.0081374321880651,0.024412296564195298,-0.7818,0.6235,0.4339,-0.901
13,Anna,Karenin,1,1522,0.153,0.796,0.051,0.0019710906701708277,0.02102496714848883,0.0,0.005256241787122208,0.02431011826544021,0.009198423127463863,0.04139290407358739,0.0045992115637319315,0.013797634691195795,0.026281208935611037,0.0,1.0,-0.4339,-0.901
14,Dolly,Stiva,2,153,0.0,0.739,0.261,0.032679738562091505,0.0196078431372549,0.0,0.0392156862745098,0.013071895424836602,0.0392156862745098,0.0392156862745098,0.026143790849673203,0.013071895424836602,0.026143790849673203,0.9749,-0.2225,-0.7818,0.6235
15,Levin,Stiva,2,5780,0.142,0.788,0.07,0.012283737024221454,0.01903114186851211,0.005190311418685121,0.011072664359861591,0.01833910034602076,0.01972318339100346,0.03806228373702422,0.00986159169550173,0.013494809688581315,0.025259515570934254,0.7818,0.6235,-0.7818,0.6235
16,Kitty,Levin,2,128,0.132,0.746,0.122,0.0546875,0.0234375,0.0234375,0.015625,0.015625,0.0625,0.0390625,0.03125,0.015625,0.0078125,-0.9749,-0.2225,0.7818,0.6235
17,Levin,Vronsky,2,173,0.168,0.797,0.035,0.017341040462427744,0.028901734104046242,0.005780346820809248,0.011560693641618497,0.017341040462427744,0.04046242774566474,0.028901734104046242,0.017341040462427744,0.005780346820809248,0.04046242774566474,0.7818,0.6235,0.4339,-0.901
18,Dolly,Kitty,2,1556,0.112,0.761,0.127,0.008354755784061696,0.009640102827763496,0.0038560411311053984,0.010282776349614395,0.014138817480719794,0.02249357326478149,0.02892030848329049,0.012210796915167094,0.006426735218508998,0.016709511568123392,0.9749,-0.2225,-0.9749,-0.2225
19,Anna,Vronsky,2,6627,0.129,0.757,0.114,0.009204768371812283,0.013882601478798853,0.006639505055077713,0.01252452089935114,0.014938886373924853,0.02489814395654142,0.03199034253810171,0.012675418741511997,0.008450279161007998,0.018560434585785424,0.0,1.0,0.4339,-0.901
20,Anna,Karenin,2,7837,0.099,0.805,0.096,0.009314788822253414,0.014929182084981498,0.0058695929564884525,0.01365318361617966,0.010718387137935435,0.023733571519714176,0.029858364169962997,0.012377185147377822,0.00714559142529029,0.017608778869465356,0.0,1.0,-0.4339,-0.901
21,Anna,Karenin,3,4997,0.105,0.785,0.11,0.011006603962377426,0.019011406844106463,0.0054032419451671004,0.013207924754852912,0.00980588353011807,0.022413448068841303,0.024414648789273564,0.01420852511506904,0.005803482089253552,0.017810686411847108,0.0,1.0,-0.4339,-0.901
22,Dolly,Stiva,3,545,0.103,0.848,0.049,0.005504587155963303,0.022018348623853212,0.0,0.007339449541284404,0.02018348623853211,0.012844036697247707,0.029357798165137616,0.007339449541284404,0.005504587155963303,0.02018348623853211,0.9749,-0.2225,-0.7818,0.6235
23,Karenin,Vronsky,3,163,0.137,0.752,0.111,0.024539877300613498,0.03680981595092025,0.012269938650306749,0.024539877300613498,0.006134969325153374,0.03067484662576687,0.012269938650306749,0.024539877300613498,0.024539877300613498,0.012269938650306749,-0.4339,-0.901,0.4339,-0.901
24,Dolly,Levin,3,2236,0.152,0.762,0.086,0.004025044722719142,0.016100178890876567,0.0017889087656529517,0.007155635062611807,0.01967799642218247,0.014311270125223614,0.03041144901610018,0.005366726296958855,0.007155635062611807,0.014311270125223614,0.9749,-0.2225,0.7818,0.6235
25,Kitty,Levin,3,1192,0.107,0.79,0.103,0.012583892617449664,0.015100671140939598,0.0041946308724832215,0.013422818791946308,0.015100671140939598,0.024328859060402684,0.026845637583892617,0.012583892617449664,0.010906040268456376,0.016778523489932886,-0.9749,-0.2225,0.7818,0.6235
26,Anna,Vronsky,3,2974,0.097,0.802,0.101,0.008742434431741762,0.02219233355749832,0.005043712172158709,0.010087424344317418,0.014122394082044385,0.01546738399462004,0.026227303295225286,0.008406186953597848,0.008069939475453935,0.02051109616677875,0.0,1.0,0.4339,-0.901
27,Dolly,Kitty,3,35,0.085,0.915,0.0,0.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.0,0.02857142857142857,0.05714285714285714,0.9749,-0.2225,-0.9749,-0.2225
28,Kitty,Levin,4,5339,0.17,0.752,0.078,0.0061809327589436225,0.018355497284135606,0.0024349129050383967,0.009739651620153587,0.019853905225697695,0.019479303240307173,0.03277767372167072,0.008428544671286758,0.009552350627458326,0.019104701254916652,-0.9749,-0.2225,0.7818,0.6235
29,Kitty,Stiva,4,17,0.218,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9749,-0.2225,-0.7818,0.6235
30,Karenin,Vronsky,4,1398,0.096,0.762,0.143,0.005007153075822604,0.009298998569384835,0.005007153075822604,0.012875536480686695,0.007868383404864092,0.026466380543633764,0.01859799713876967,0.017167381974248927,0.00715307582260372,0.01072961373390558,-0.4339,-0.901,0.4339,-0.901
31,Levin,Karenin,4,326,0.081,0.903,0.016,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.009202453987730062,0.015337423312883436,0.018404907975460124,0.0,0.012269938650306749,0.015337423312883436,0.7818,0.6235,-0.4339,-0.901
32,Dolly,Stiva,4,117,0.0,0.934,0.066,0.008547008547008548,0.017094017094017096,0.0,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.02564102564102564,0.0,0.017094017094017096,0.017094017094017096,0.9749,-0.2225,-0.7818,0.6235
33,Anna,Stiva,4,1036,0.145,0.72,0.135,0.009652509652509652,0.011583011583011582,0.009652509652509652,0.012548262548262547,0.0222007722007722,0.0222007722007722,0.037644787644787646,0.015444015444015444,0.017374517374517374,0.026061776061776062,0.0,1.0,-0.7818,0.6235
34,Levin,Stiva,4,1205,0.158,0.771,0.072,0.006639004149377593,0.017427385892116183,0.0033195020746887966,0.012448132780082987,0.014107883817427386,0.014937759336099586,0.025726141078838173,0.010788381742738589,0.009128630705394191,0.014937759336099586,0.7818,0.6235,-0.7818,0.6235
35,Anna,Vronsky,4,4131,0.124,0.775,0.101,0.009198741224885015,0.014282256112321472,0.0045993706124425075,0.01065117404986686,0.012103606874848705,0.020818203824739773,0.02638586298717018,0.011619462599854757,0.008472524812394093,0.01355603969983055,0.0,1.0,0.4339,-0.901
36,Anna,Karenin,4,5283,0.121,0.742,0.137,0.013628620102214651,0.014764338444065871,0.009085746734809767,0.017603634298693924,0.012682188150671967,0.030285822449365892,0.027825099375354913,0.01608934317622563,0.008707173954192694,0.02025364376301344,0.0,1.0,-0.4339,-0.901
37,Dolly,Levin,4,129,0.077,0.846,0.077,0.0,0.031007751937984496,0.0,0.0,0.031007751937984496,0.0,0.046511627906976744,0.0,0.007751937984496124,0.046511627906976744,0.9749,-0.2225,0.7818,0.6235
38,Dolly,Kitty,4,54,0.161,0.839,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.05555555555555555,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.9749,-0.2225,-0.9749,-0.2225
